epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0588,1.24592,1.74603,1.2221,0.66272,0.58461,0.62177,0.47866,0.93978,0.79137,0.97578,1.785e-05,1.785e-05,1.785e-05
2,110.116,1.28349,1.8424,1.25886,0.65708,0.58894,0.62931,0.48005,0.94149,0.78418,0.98022,2.95858e-05,2.95858e-05,2.95858e-05
3,165.794,1.17343,1.46874,1.17519,0.641,0.5995,0.63885,0.48656,0.94187,0.78528,0.98192,3.37817e-05,3.37817e-05,3.37817e-05
4,221.817,1.2378,1.53461,1.23201,0.6492,0.60142,0.63984,0.48798,0.94657,0.78647,0.98532,3.04378e-05,3.04378e-05,3.04378e-05
5,277.395,1.20095,1.30011,1.1871,0.69277,0.57346,0.64073,0.48628,0.95001,0.78308,0.98932,1.95541e-05,1.95541e-05,1.95541e-05
