epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8134,1.38864,2.47627,1.30815,0.64492,0.48542,0.51279,0.3793,1.12063,1.12497,1.05879,1.785e-05,1.785e-05,1.785e-05
2,47.1117,1.44403,2.53767,1.34874,0.58897,0.50111,0.51643,0.38795,1.12735,1.11698,1.06494,2.95858e-05,2.95858e-05,2.95858e-05
3,70.5538,1.32669,2.18597,1.2651,0.62111,0.5034,0.52425,0.39004,1.12927,1.10836,1.06802,3.37817e-05,3.37817e-05,3.37817e-05
4,93.6192,1.38124,2.30015,1.31955,0.61536,0.48385,0.52825,0.38736,1.1324,1.11503,1.06977,3.04378e-05,3.04378e-05,3.04378e-05
5,116.329,1.35031,1.91182,1.26808,0.62869,0.48544,0.52827,0.38594,1.14476,1.12459,1.07678,1.95541e-05,1.95541e-05,1.95541e-05
