epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4054,1.38967,2.66402,1.31268,0.58433,0.49774,0.51237,0.37913,1.12052,1.12099,1.05877,1.785e-05,1.785e-05,1.785e-05
2,53.8336,1.38399,2.4891,1.33116,0.60957,0.4831,0.51567,0.38562,1.12436,1.11816,1.0641,2.95858e-05,2.95858e-05,2.95858e-05
3,77.3766,1.34945,2.22023,1.28546,0.58339,0.49533,0.51575,0.38349,1.12898,1.1141,1.06812,3.37817e-05,3.37817e-05,3.37817e-05
4,100.668,1.39547,2.15486,1.2993,0.59243,0.50152,0.52008,0.38749,1.12974,1.11029,1.06746,3.04378e-05,3.04378e-05,3.04378e-05
5,124.174,1.35058,2.07919,1.28039,0.61639,0.47622,0.52243,0.38572,1.13281,1.12302,1.07025,1.95541e-05,1.95541e-05,1.95541e-05
